Correction,Kmag_List
0.0,12.0
-0.00239277108434,12.0132931727
-0.00478554216867,12.0265863454
-0.00717831325301,12.0398795181
-0.00957108433735,12.0531726908
-0.0119638554217,12.0664658635
-0.014356626506,12.0797590361
-0.0167493975904,12.0930522088
-0.0191421686747,12.1063453815
-0.021534939759,12.1196385542
-0.0239277108434,12.1329317269
-0.0263204819277,12.1462248996
-0.028713253012,12.1595180723
-0.0311060240964,12.172811245
-0.0334987951807,12.1861044177
-0.0358915662651,12.1993975904
-0.0382843373494,12.2126907631
-0.0406771084337,12.2259839357
-0.0430698795181,12.2392771084
-0.0454626506024,12.2525702811
-0.0478554216867,12.2658634538
-0.0502481927711,12.2791566265
-0.0526409638554,12.2924497992
-0.0550337349398,12.3057429719
-0.0574265060241,12.3190361446
-0.0598192771084,12.3323293173
-0.0622120481928,12.34562249
-0.0646048192771,12.3589156627
-0.0669975903614,12.3722088353
-0.0693903614458,12.385502008
-0.0717831325301,12.3987951807
-0.0741759036145,12.4120883534
-0.0765686746988,12.4253815261
-0.0789614457831,12.4386746988
-0.0813542168675,12.4519678715
-0.0837469879518,12.4652610442
-0.0861397590361,12.4785542169
-0.0885325301205,12.4918473896
-0.0909253012048,12.5051405622
-0.0933180722892,12.5184337349
-0.0957108433735,12.5317269076
-0.0981036144578,12.5450200803
-0.100496385542,12.558313253
-0.102889156627,12.5716064257
-0.105281927711,12.5848995984
-0.107674698795,12.5981927711
-0.11006746988,12.6114859438
-0.112460240964,12.6247791165
-0.114853012048,12.6380722892
-0.117245783133,12.6513654618
-0.119638554217,12.6646586345
-0.122031325301,12.6779518072
-0.124424096386,12.6912449799
-0.12681686747,12.7045381526
-0.129209638554,12.7178313253
-0.131602409639,12.731124498
-0.133995180723,12.7444176707
-0.136387951807,12.7577108434
-0.138780722892,12.7710040161
-0.141173493976,12.7842971888
-0.14356626506,12.7975903614
-0.145959036145,12.8108835341
-0.148351807229,12.8241767068
-0.150744578313,12.8374698795
-0.153137349398,12.8507630522
-0.155530120482,12.8640562249
-0.157922891566,12.8773493976
-0.160315662651,12.8906425703
-0.162708433735,12.903935743
-0.165101204819,12.9172289157
-0.167493975904,12.9305220884
-0.169886746988,12.943815261
-0.172279518072,12.9571084337
-0.174672289157,12.9704016064
-0.177065060241,12.9836947791
-0.179457831325,12.9969879518
-0.18185060241,13.0102811245
-0.184243373494,13.0235742972
-0.186636144578,13.0368674699
-0.189028915663,13.0501606426
-0.191421686747,13.0634538153
-0.193814457831,13.076746988
-0.196207228916,13.0900401606
-0.1986,13.1033333333
-0.200992771084,13.116626506
-0.203385542169,13.1299196787
-0.205778313253,13.1432128514
-0.208171084337,13.1565060241
-0.210563855422,13.1697991968
-0.212956626506,13.1830923695
-0.21534939759,13.1963855422
-0.217742168675,13.2096787149
-0.220134939759,13.2229718876
-0.222527710843,13.2362650602
-0.224920481928,13.2495582329
-0.227313253012,13.2628514056
-0.229706024096,13.2761445783
-0.232098795181,13.289437751
-0.234491566265,13.3027309237
-0.236884337349,13.3160240964
-0.239277108434,13.3293172691
-0.241669879518,13.3426104418
-0.244062650602,13.3559036145
-0.246455421687,13.3691967871
-0.248848192771,13.3824899598
-0.251240963855,13.3957831325
-0.25363373494,13.4090763052
-0.256026506024,13.4223694779
-0.258419277108,13.4356626506
-0.260812048193,13.4489558233
-0.263204819277,13.462248996
-0.265597590361,13.4755421687
-0.267990361446,13.4888353414
-0.27038313253,13.5021285141
-0.272775903614,13.5154216867
-0.275168674699,13.5287148594
-0.277561445783,13.5420080321
-0.279954216867,13.5553012048
-0.282346987952,13.5685943775
-0.284739759036,13.5818875502
-0.28713253012,13.5951807229
-0.289525301205,13.6084738956
-0.291918072289,13.6217670683
-0.294310843373,13.635060241
-0.296703614458,13.6483534137
-0.299096385542,13.6616465863
-0.301489156627,13.674939759
-0.303881927711,13.6882329317
-0.306274698795,13.7015261044
-0.30866746988,13.7148192771
-0.311060240964,13.7281124498
-0.313453012048,13.7414056225
-0.315845783133,13.7546987952
-0.318238554217,13.7679919679
-0.320631325301,13.7812851406
-0.323024096386,13.7945783133
-0.32541686747,13.8078714859
-0.327809638554,13.8211646586
-0.330202409639,13.8344578313
-0.332595180723,13.847751004
-0.334987951807,13.8610441767
-0.337380722892,13.8743373494
-0.339773493976,13.8876305221
-0.34216626506,13.9009236948
-0.344559036145,13.9142168675
-0.346951807229,13.9275100402
-0.349344578313,13.9408032129
-0.351737349398,13.9540963855
-0.354130120482,13.9673895582
-0.356522891566,13.9806827309
-0.358915662651,13.9939759036
-0.361308433735,14.0072690763
-0.363701204819,14.020562249
-0.366093975904,14.0338554217
-0.368486746988,14.0471485944
-0.370879518072,14.0604417671
-0.373272289157,14.0737349398
-0.375665060241,14.0870281124
-0.378057831325,14.1003212851
-0.38045060241,14.1136144578
